id,listing_id,url,source,residential_complex_id,residential_complex_name,rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_local,price_per_m2,house_type,year_built,building_series,ceiling_height,condition,bathroom,balcony,parking,furniture,floor_type,heating,security,internet,documents,offer_type,address,district,latitude,longitude,parsed_at,updated_at,is_active
49,1004461872,https://krisha.kz/a/show/1004461872?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=16735,krisha.kz,,Asylym Prime,4,95.0,,,6.0,9.0,208288,106000000,2192,кирпичный,2023,,3.0,,2 с/у и более,,паркинг,полностью,ламинат,,"охрана, домофон, видеонаблюдение, видеодомофон",,,,Орынбор 16 — Алихана Бокейханова,Есильский р-н,51.107955009446,71.435189017628,2026-01-03T20:56:34.152358,,1
50,762328654,https://krisha.kz/a/show/762328654?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=3851,krisha.kz,,Boston Comfort House 2,1,42.07,,13.52,3.0,5.0,27509,14000000,653,кирпичный,2025,,2.7,черновая отделка,совмещенный,балкон,,,,,,,,,"мкр Уркер, Кургальжинское шоссе 104",Нура р-н,51.123853014825,71.290893691054,2026-01-03T21:10:41.875275,,1
51,1003715096,https://krisha.kz/a/show/1003715096,krisha.kz,,Жасыл ел,2,47.4,,,14.0,14.0,43229,22000000,912,кирпичный,2010,,2.7,,,,паркинг,частично,ламинат,,"домофон, видеонаблюдение",,,,Сатпаева 20 — Момышулы,Алматы р-н,51.141907,71.476432,2026-01-03T21:10:52.066915,,1
52,1005836140,https://krisha.kz/a/show/1005836140?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=21471,krisha.kz,,Capital Park. Emotions,3,88.0,,,,,135364,68888500,1538,монолитный,2025,,3.0,,,,паркинг,,,,,,,,Бухар жырау 33/1,Есильский р-н,51.097882,71.447569,2026-01-03T21:10:58.490151,,1
53,1007235449,https://krisha.kz/a/show/1007235449?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=8155,krisha.kz,,Promenade Expo,2,78.0,,,9.0,10.0,110039,56000000,1410,монолитный,2016,,3.0,свежий ремонт,совмещенный,лоджия,паркинг,частично,ламинат,,,,,,Мәңгілік Ел 52 — Улы Дала,Есильский р-н,51.093736993934,71.425456738214,2026-01-03T21:11:08.347294,,1
54,1007054530,https://krisha.kz/a/show/1007054530?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=7865,krisha.kz,,Auez,1,39.0,,,8.0,14.0,49124,25000000,1259,монолитный,2026,,3.0,,совмещенный,балкон,паркинг,,,,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",,,,Сагадат Нурмагамбетов 17,Сарайшык р-н,51.113877909608,71.481329798644,2026-01-03T21:11:16.198355,,1
55,1008303812,https://krisha.kz/a/show/1008303812,krisha.kz,,Respublika,2,39.1,,,14.0,18.0,63272,32200000,1618,монолитный,2025,,3.0,свежий ремонт,совмещенный,лоджия,паркинг,полностью,ламинат,,"домофон, видеонаблюдение, видеодомофон",,,,Е-36 6,Нура р-н,51.120902470303,71.379950363693,2026-01-03T21:11:23.296858,,1
56,1007941371,https://krisha.kz/a/show/1007941371?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=21112,krisha.kz,,GreenLine. Aurora,2,70.64,,,6.0,9.0,112986,57500000,1599,монолитный,2026,,3.0,черновая отделка,,,паркинг,,,,,,,,Е-899 3 — За Хан Шатыр,Нура р-н,51.134387015427,71.386815497076,2026-01-03T21:11:32.658105,,1
57,1005633817,https://krisha.kz/a/show/1005633817,krisha.kz,,Мынжылдык,3,97.0,,15.0,3.0,9.0,127723,65000000,1316,кирпичный,2023,,3.0,,2 с/у и более,лоджия,паркинг,полностью,ламинат,,"домофон, видеонаблюдение, видеодомофон",,,,Калдаякова 34,Сарайшык р-н,51.111064209244,71.50192435543,2026-01-03T21:11:41.434698,,1
58,1006751287,https://krisha.kz/a/show/1006751287?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=10749,krisha.kz,,AUEN,2,38.0,,9.0,7.0,9.0,49124,25000000,1292,кирпичный,2023,,3.0,,совмещенный,лоджия,паркинг,частично,ламинат,,,,,,Б.Сокпакбаева 1 — Сарыарка,Сарыарка р-н,51.172396256993,71.402581013708,2026-01-03T21:11:51.147879,,1
