Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3777,1.0,2,2,2002.0,7.0,38.0,3,30990000.0
3778,3.0,2,3,1993.0,8.0,72.0,3,42000000.0
3779,1.0,6,2,2023.0,9.0,40.0,3,26000000.0
3780,1.0,3,1,1990.0,2.0,37.0,3,34000000.0
3781,1.0,3,3,1976.0,5.0,33.0,2,24000000.0
3782,3.0,3,1,1992.0,4.0,70.0,3,51500000.0
3783,3.0,1,2,2012.0,12.0,77.0,3,55500000.0
3784,2.0,3,3,1976.0,3.0,44.0,3,34000000.0
3785,2.0,5,2,2022.0,4.0,67.8,3,47500000.0
3786,2.0,3,3,1972.0,5.0,44.5,3,30000000.0
3787,3.0,0,2,2022.0,5.0,75.0,4,29500000.0
3788,3.0,3,2,2013.0,12.0,122.0,3,107000000.0
3789,3.0,1,1,1955.0,3.0,85.0,3,76000000.0
3790,3.0,5,3,1970.0,3.0,56.0,3,40000000.0
3791,1.0,3,2,2015.0,3.0,35.1,3,31500000.0
3792,2.0,3,2,2022.0,1.0,49.5,3,56000000.0
3793,3.0,2,2,2023.0,14.0,103.0,4,70000000.0
3794,3.0,2,2,2009.0,3.0,98.6,3,59000000.0
3795,2.0,3,2,2018.0,10.0,45.0,3,42800000.0
3796,1.0,7,1,1979.0,2.0,25.0,3,16000000.0
3797,2.0,1,3,1985.0,4.0,58.0,3,39900000.0
3798,1.0,7,2,2019.0,5.0,44.8,1,27000000.0
3799,3.0,3,2,2009.0,2.0,97.0,3,64500000.0
3800,3.0,3,2,2014.0,9.0,125.0,3,125000000.0
3801,3.0,2,3,1988.0,1.0,64.6,1,40000000.0
3802,1.0,0,2,2019.0,12.0,37.0,3,21800000.0
3803,2.0,5,1,1974.0,2.0,51.0,1,53000000.0
3804,3.0,1,2,2012.0,6.0,61.6,1,35500000.0
3805,3.0,1,1,1978.0,3.0,112.0,3,107000000.0
3806,1.0,4,3,1983.0,5.0,43.0,3,23500000.0
3807,1.0,2,3,1963.0,1.0,31.9,3,22500000.0
3808,3.0,1,3,1970.0,3.0,62.0,3,39000000.0
3809,3.0,6,2,2022.0,10.0,76.77,3,42500000.0
3810,2.0,2,2,2019.0,4.0,83.5,3,47000000.0
3811,3.0,1,1,1958.0,3.0,72.0,1,58000000.0
3812,3.0,1,2,2016.0,6.0,80.0,3,66500000.0
3813,1.0,6,2,2023.0,9.0,40.0,2,21000000.0
3814,3.0,5,1,1987.0,1.0,67.0,3,59000000.0
3815,1.0,2,3,1965.0,2.0,33.0,3,21500000.0
3816,4.0,3,2,2006.0,4.0,181.0,3,220500000.0
3817,1.0,2,3,1988.0,3.0,40.0,3,28490000.0
3818,3.0,3,3,1980.0,2.0,56.0,3,35000000.0
3819,1.0,3,3,1977.0,4.0,32.0,3,28000000.0
3820,1.0,0,2,2022.0,8.0,45.6,3,32000000.0
3821,2.0,3,2,2015.0,14.0,67.0,3,54000000.0
3822,4.0,2,3,1992.0,3.0,85.0,3,53000000.0
3823,1.0,6,2,2022.0,5.0,32.0,4,15000000.0
3824,1.0,3,2,2012.0,19.0,48.8,3,28500000.0
3825,1.0,2,3,1989.0,2.0,40.0,1,26800000.0
3826,3.0,2,2,2013.0,11.0,88.0,3,61000000.0
3827,2.0,1,1,1989.0,4.0,50.0,3,43000000.0
3828,2.0,0,2,2013.0,9.0,64.0,3,28000000.0
3829,3.0,1,2,1984.0,14.0,135.0,3,89500000.0
3830,2.0,2,2,1968.0,3.0,48.0,1,29000000.0
3831,1.0,2,1,1978.0,1.0,22.0,3,14400000.0
3832,3.0,1,2,2009.0,17.0,127.0,3,92000000.0
3833,2.0,3,2,2011.0,16.0,65.9,3,80000000.0
3834,2.0,3,3,1972.0,2.0,43.0,3,32000000.0
3835,1.0,2,1,1978.0,2.0,22.0,3,13999000.0
3836,5.0,2,2,2007.0,15.0,176.1,4,72950000.0
3837,2.0,3,2,2009.0,6.0,82.0,3,69500000.0
3838,2.0,2,2,2021.0,12.0,56.0,3,43000000.0
3839,1.0,1,3,1987.0,3.0,33.0,3,26500000.0
3840,2.0,0,2,2023.0,1.0,67.0,4,29000000.0
3841,3.0,5,1,1996.0,1.0,181.4,3,105000000.0
3842,3.0,2,3,1982.0,4.0,59.0,3,35500000.0
3843,3.0,6,2,2022.0,4.0,82.0,3,43000000.0
3844,4.0,3,2,2009.0,10.0,150.7,3,127000000.0
3845,1.0,0,2,2017.0,3.0,30.0,3,18000000.0
3846,2.0,3,2,2019.0,4.0,57.0,3,60000000.0
3847,4.0,3,2,2021.0,11.0,112.0,3,105000000.0
3848,3.0,4,2,2005.0,6.0,92.0,3,48500000.0
3849,4.0,2,1,1982.0,5.0,86.4,1,48000000.0
3850,3.0,1,1,1956.0,1.0,102.0,3,72500000.0
3851,1.0,2,2,2010.0,4.0,66.2,3,42000000.0
3852,2.0,5,3,1986.0,1.0,42.0,3,55000000.0
3853,3.0,3,2,2015.0,8.0,134.5,3,225000000.0
3854,3.0,3,1,1995.0,5.0,80.0,3,58500000.0
3855,3.0,1,3,1975.0,7.0,70.0,3,58000000.0
3856,1.0,2,3,1987.0,3.0,12.0,3,10800000.0
3857,1.0,1,1,1984.0,5.0,33.0,1,26000000.0
3858,3.0,3,2,2019.0,2.0,95.8,2,64186000.0
3859,2.0,4,1,1980.0,3.0,37.0,2,15500000.0
3860,1.0,2,1,1982.0,8.0,14.0,3,12000000.0
